Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,
Tuberculosis,persistent_cough,low_grade_fever,night_sweats,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,night_sweats,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,night_sweats,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,night_sweats,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,chest_pain,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,chest_pain,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,chest_pain,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,chest_pain,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,night_sweats,weight_loss,blood_in_sputum,
Tuberculosis,persistent_cough,low_grade_fever,chest_pain,weight_loss,blood_in_sputum,
Pneumonia,high_fever,cough,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,cough,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,cough,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,cough,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,cough,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,loss_of_appetite,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,loss_of_appetite,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,loss_of_appetite,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,loss_of_appetite,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,cough,shortness_of_breath,chest_pain,fatigue,
Pneumonia,high_fever,loss_of_appetite,shortness_of_breath,chest_pain,fatigue,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Asthma,shortness_of_breath,wheezing,chest_tightness,persistent_cough,nocturnal_cough,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,Fatigue,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,Fatigue,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,Fatigue,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,Fatigue,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,phlegm,shortness_of_breath,wheezing,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,Fatigue,shortness_of_breath,Fatigue,chest_tightness,
Chronic Obstructive Pulmonary Disease,chronic_cough,Fatigue,shortness_of_breath,wheezing,chest_tightness,0
Bronchitis,cough,wheezing,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,shortness_of_breath,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,shortness_of_breath,chest_discomfort,mild_fever,
Bronchitis,cough,wheezing,fatigue,chest_discomfort,shortness_of_breath,
Bronchitis,cough,phlegm,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,fatigue,chest_discomfort,shortness_of_breath,
Bronchitis,cough,wheezing,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,shortness_of_breath,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,fatigue,chest_discomfort,mild_fever,
Bronchitis,cough,phlegm,shortness_of_breath,chest_discomfort,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
Influenza(FLU),high_fever,body_ache,headache,fatigue,dry_cough,
COVID-19,fever,dry_cough,sore_throat,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,nausea,loss_of_taste,muscle_pain,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,nausea,loss_of_taste,muscle_pain,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,nausea,loss_of_taste,nausea,
COVID-19,fever,dry_cough,sore_throat,loss_of_taste,shortness_of_breath,
COVID-19,fever,dry_cough,fatigue,loss_of_taste,shortness_of_breath,
