Disease,Description
AIDS,"AIDS,""Acquired Immunodeficiency Syndrome(AIDS) is the late stage of HIV, where the immune system is very weak. This makes the body get frequent infections. Symptoms include weight loss, repeated sickness and long-lasting fever. Treatment is lifelong HIV medicine (antiretroviral therapy)."""
Acne,"Acne,""Acne is a skin problem where hair pores get blocked by oil and dead skin, causing pimples and spots on the face, chest, or back. It is usually mild and treated with skincare and medicines."""
Acute_kidney_injury,"Acute_kidney_injury,""Acute kidney injury happens when the kidneys suddenly stop function over hours or days, reducing the kidneys’ ability to filter waste and balance fluids. It can cause less urine, swelling, tiredness and needs quick medical treatment."""
Alzheimer disease,"Alzheimer disease,""Alzheimer’s is a brain disease that slowly affects memory, thinking, and daily activities. It is the most common cause of memory loss in older people."""
Anemia,"Anemia,""Anemia is a condition where the blood has too few red blood cells or low haemoglobin, reducing oxygen delivery to the body. It causes tiredness, weakness, dizziness and shortness of breath."""
Ankylosing_spondylitis,"Ankylosing _spondylitis ""Ankylosing spondylitis is a chronic inflammatory disease affecting the spine and joints, causing back pain, stiffness and reduced mobility. It is lifelong and managed with physical therapy and medications."""
Anxiety disorder,"anxiety disorder,""An anxiety disorder is a common mental health condition where the person feels excessive fear or worry that affects daily life. It causes restlessness, rapid heartbeat and difficulty concentrating and treatment includes counseling and medications."""
Appendicitis,"Appendicitis,""Appendicitis is when the appendix becomes inflamed and causes sudden belly pain, nausea, and fever. It usually needs quick medical treatment or surgery."""
Asthma,"Asthma,""Asthma is a long‑term lung condition where the airways become narrow and inflamed, causing wheezing, shortness of breath, cough and tight chest. Medicines and avoiding triggers help control it."""
Bell palsy,"Bell palsy ,""Bell palsy is a condition that causes sudden weakness or paralysis on one side of the face, making it droop. It often gets better over weeks to months with treatment."""
Bronchitis,"Bronchitis,""Bronchitis is inflammation of the breathing tubes in the lungs, causing cough with mucus, tiredness and sometimes fever. It can be short‑term (acute) or long‑term."""
COVID-19,"COVID‑19 ,""COVID‑19 is an infectious disease caused by a coronavirus (SARS‑CoV‑2). It spreads through the air and causes fever, cough, sore throat and body aches. Most people recover, but some get very sick."""
Cataract,"Cataract,""A cataract is when the eye’s lens becomes cloudy, making vision blurry. It is common with age and can be treated with surgery to restore sight."""
Celiac_disease,"Celiac disease ,""Celiac disease is an immune condition where eating gluten (in wheat, barley, rye) damages the intestine, causing diarrhea, stomach pain, weight loss and tiredness."""
Cervical spondylosis,"Cervical spondylosis,""Cervical spondylosis is age-related wear affecting spinal disks in the neck, leading to neck pain, stiffness and sometimes nerve compression. Treatment includes physical therapy and medication."""
