Disease,Diet_1,Diet_2,Diet_3,Diet_4
AIDS,"High biological value protein (eggs, fish, legumes)",Energy-dense whole grains,Micronutrient-rich fruits and vegetables,Maintain strict food hygiene
Acne,Low glycemic index carbohydrates,Omega-3 fatty acids,Limit high-sugar foods,Reduce excessive dairy intake
Acute_kidney_injury,Protein adjusted to renal function,Restrict sodium intake,Monitor potassium and phosphorus,Fluid intake per medical advice
Alzheimer disease,Mediterranean diet pattern,Leafy greens and berries,Omega-3 rich fish and nuts,Limit saturated fat and processed foods
Anemia,Iron-rich foods (heme and non-heme),Vitamin C to enhance absorption,Folate and vitamin B12 sources,Avoid tea/coffee with meals
Ankylosing_spondylitis,Anti-inflammatory diet,Omega-3 fatty acids,Adequate calcium and vitamin D,Maintain healthy body weight
Anxiety disorder,Magnesium-rich foods,Complex carbohydrates for serotonin balance,Omega-3 fatty acids,Limit caffeine and refined sugar
Appendicitis (Post-Surgery),Clear liquids in acute phase,Soft low-residue diet post-surgery,Gradual reintroduction of fiber,Adequate hydration
Asthma,Antioxidant-rich fruits and vegetables,Omega-3 fatty acids,Avoid known food triggers,Maintain optimal weight
Bell palsy,Soft nutrient-dense foods,Vitamin B-complex rich diet,Adequate hydration,Balanced macronutrient intake
Bronchitis,Warm fluids and broths,Vitamin C-rich fruits,Light easily digestible meals,Avoid smoking exposure
COVID-19 (Recovery),High protein for recovery,"Vitamin C, D, and zinc-rich foods",Adequate hydration,Small frequent meals for appetite loss
Cataract,Antioxidant-rich vegetables,Vitamin C and E intake,"Carotenoid-rich foods (carrots, pumpkin)",Omega-3 fatty acids
Celiac_disease,Strict lifelong gluten-free diet,"Rice, millet, quinoa as alternatives","Avoid wheat, barley, rye",Monitor for nutrient deficiencies
Cervical_spondylosis,Anti-inflammatory foods,Adequate calcium and vitamin D,Weight management,Limit processed foods
Cholera,Oral rehydration salts (ORS),Electrolyte replacement,Soft easily digestible foods,Avoid fatty or spicy meals
Chronic Obstructive Pulmonary Disease (COPD),Small frequent meals,High-protein moderate-fat diet,Soft foods if dyspneic,Adequate hydration
Chronic kidney disease,Controlled protein intake,"Restrict sodium, potassium, phosphorus",Fluid monitoring,Individualized diet planning
Chronic_cholestasis,Low-fat diet,Supplement fat-soluble vitamins,Medium-chain triglycerides if advised,Frequent small meals
Cirrhosis,Low sodium to prevent ascites,Moderate protein unless encephalopathy,Frequent small meals,Avoid alcohol completely
Common Cold,Warm fluids and soups,Vitamin C-rich fruits,Light balanced meals,Adequate hydration
Conjunctivitis,Hydrating fruits and vegetables,Omega-3 fatty acids,Avoid allergens in food if allergic,Adequate fluids
Coronary artery disease,Low saturated and trans fat diet,High fiber intake,Limit sodium,"Increase fruits, vegetables, whole grains"
Crohn disease,Low-residue diet during flare-ups,Small frequent meals,Avoid trigger foods,Adequate hydration
Deep_vein_thrombosis (DVT),Maintain adequate hydration,Limit vitamin K fluctuations if on anticoagulants,Balanced fruits and vegetables,Reduce excessive saturated fats
Dengue,High fluid intake,Protein-rich foods for recovery,Soft digestible meals,Maintain electrolyte balance
Depression,Omega-3 rich fish,Whole grains for stable glucose,Leafy greens and legumes,Limit ultra-processed foods
Diabetes mellitus,Low glycemic index foods,High dietary fiber,Controlled carbohydrate portions,Limit refined sugars
Eczema,Anti-inflammatory foods,Omega-3 fatty acids,Avoid allergenic foods,Maintain hydration
Encephalitis,High-calorie high-protein diet for recovery,Soft foods if swallowing difficulty,Adequate hydration,Small frequent meals
Endocarditis,Soft nutrient-rich diet,Adequate protein intake,Adequate fluids,Avoid raw foods
Endometriosis,Anti-inflammatory diet,Omega-3 fatty acids,Limit red meat and processed foods,Increase fruits and vegetables
Epilepsy,Ketogenic diet if medically indicated,Regular meal timing,Avoid prolonged fasting,Adequate hydration
