Disease,Exercise_1,Exercise_2,Exercise_3,Exercise_4,Intensity,Duration,Frequency,Notes
AIDS,Walking,Light_strength_training,Yoga,Stretching,Low_to_Moderate,30_min,4_days_per_week,Avoid_overexertion
Acne,Light_cardio,Yoga,Bodyweight_exercises,Stretching,Moderate,30_min,5_days_per_week,Maintain_hygiene
Acute_kidney_injury,Light_walking,Stretching,Breathing_exercises,Seated_movements,Low,15_to_20_min,3_days_per_week,Only_if_medically_cleared
Alzheimer_disease,Walking,Balance_training,Light_strength_training,Chair_exercises,Low,20_to_30_min,5_days_per_week,Supervised
Anemia,Walking,Light_resistance_training,Yoga,Stretching,Low,20_min,4_days_per_week,Avoid_high_intensity
Ankylosing_spondylitis,Posture_exercises,Swimming,Stretching,Yoga,Low_to_Moderate,30_min,5_days_per_week,Spinal_mobility_focus
Anxiety_disorder,Yoga,Tai_chi,Walking,Breathing_exercises,Low_to_Moderate,30_min,5_days_per_week,Relaxation_focus
Appendicitis,None,None,None,None,None,None,None,Surgery_required_no_exercise
Asthma,Swimming,Walking,Light_cycling,Breathing_exercises,Moderate,30_min,4_days_per_week,Warm_up_required
Bell_palsy,Facial_exercises,Light_walking,Stretching,Balance_training,Low,20_min,5_days_per_week,Facial_rehab_focus
Bronchitis,Walking,Breathing_exercises,Light_stretching,Seated_cycling,Low,20_min,4_days_per_week,Avoid_cold_air
COVID-19,Breathing_exercises,Light_walking,Stretching,Chair_exercises,Low,15_to_30_min,4_days_per_week,Post_recovery_only
Cataract,Walking,Stationary_cycling,Light_weights,Stretching,Moderate,30_min,5_days_per_week,Avoid_head_strain
Celiac_disease,Walking,Resistance_training,Yoga,Cycling,Moderate,30_to_45_min,5_days_per_week,Nutrition_monitoring
Cervical_spondylosis,Neck_stretches,Posture_training,Light_strength_training,Yoga,Low_to_Moderate,30_min,5_days_per_week,Avoid_heavy_lifting
Cholera,None,None,None,None,None,None,None,Hydration_priority
Chronic_Obstructive_Pulmonary_Disease,Breathing_exercises,Slow_walking,Light_resistance_training,Stretching,Low,20_min,4_days_per_week,Avoid_exertion
