Disease,Description
Fungal infection,"Fungal infection,""A fungal infection occurs when fungi grow on the skin, nails, or scalp, especially in warm and moist areas of the body. It commonly causes itching, redness, skin rashes, and peeling skin. These infections are usually treatable with antifungal medications and proper hygiene.""
"
Allergy,"Allergy,""An allergy occurs when the immune system reacts abnormally to harmless substances such as dust, pollen, foods, or medications. Common symptoms include sneezing, itching, skin rashes, swelling, and watery eyes. Treatment usually involves avoiding triggers and using antihistamines or other prescribed medications."""
GERD,"GERD,""Gastroesophageal reflux disease (GERD) occurs when stomach acid repeatedly flows back into the food pipe, causing irritation. Common symptoms include heartburn, chest discomfort, and acid regurgitation. Treatment includes lifestyle changes, diet control, and medications that reduce stomach acid."""
Chronic cholestasis,"Chronic cholestasis,""Chronic cholestasis is a condition where bile flow from the liver is reduced or blocked, leading to bile accumulation. Symptoms include itching, yellowing of skin and eyes, and dark urine. Treatment depends on the underlying cause and medical management."""
Drug Reaction,"Drug Reaction,""A drug reaction occurs when the body responds adversely to a medication. Symptoms may include skin rashes, itching, swelling, fever, or difficulty breathing. Treatment involves stopping the medication and receiving appropriate medical care."""
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,"AIDS,""Acquired Immunodeficiency Syndrome (AIDS) is the advanced stage of HIV infection where the immune system becomes severely weakened. Symptoms include severe weight loss, recurring infections, and prolonged fever. Treatment involves lifelong antiretroviral therapy to control HIV."""
Diabetes,"Diabetes,""Diabetes is a condition where blood sugar levels remain high due to insufficient insulin production or improper insulin use. Symptoms include increased thirst, frequent urination, fatigue, and weight changes. Management includes diet control, exercise, medication, or insulin therapy."""
Gastroenteritis,"Gastroenteritis,""Gastroenteritis is an infection or inflammation of the stomach and intestines causing diarrhea, vomiting, stomach cramps, and dehydration. It is often caused by viruses or contaminated food and usually improves with hydration and rest."""
Bronchial Asthma,"Bronchial Asthma,""Bronchial asthma is a chronic respiratory condition in which airways become inflamed and narrowed, causing breathing difficulty, coughing, wheezing, and chest tightness. Treatment includes inhalers and avoiding triggers.""
"
Hypertension,"Hypertension,""Hypertension, or high blood pressure, occurs when blood pressure remains consistently elevated, increasing heart disease risk. It may not show symptoms initially and is managed through lifestyle changes and medications."""
Migraine,"Migraine,""Migraine is a neurological condition causing intense, recurring headaches often accompanied by nausea, vomiting, and sensitivity to light or sound. Treatment includes medications and lifestyle management."""
Cervical spondylosis,"Cervical spondylosis,""Cervical spondylosis is age-related wear affecting spinal disks in the neck, leading to neck pain, stiffness, and sometimes nerve compression. Treatment includes physical therapy and medication."""
Paralysis (brain hemorrhage),"Paralysis (brain hemorrhage),""Brain hemorrhage occurs when bleeding in the brain damages surrounding tissues, leading to paralysis or loss of movement. Symptoms include sudden weakness, confusion, and severe headache. Immediate medical care is critical."""
Jaundice,"Jaundice,""Jaundice causes yellowing of skin and eyes due to increased bilirubin in the blood, often linked to liver or bile duct disorders. Treatment depends on the underlying cause."""
Malaria,"Malaria,""Malaria is a mosquito-borne disease caused by parasites, leading to fever, chills, sweating, and fatigue. Treatment includes antimalarial medications and preventive measures against mosquito bites.""
"
Chicken pox,"Chicken pox,""Chicken pox is a viral infection causing itchy, blister-like skin rashes and fever. It spreads easily and usually resolves with supportive treatment, though vaccination helps prevent infection."""
Dengue,"Dengue,""Dengue is a mosquito-borne viral infection causing high fever, severe headache, joint pain, and rash. Severe cases may lead to bleeding complications and require medical attention."""
Typhoid,"Typhoid,""Typhoid fever is a bacterial infection spread through contaminated food or water, causing prolonged fever, weakness, and abdominal pain. Treatment requires antibiotics and safe hygiene practices."""
hepatitis A,"hepatitis A,""Hepatitis A is a viral liver infection transmitted through contaminated food or water, causing fatigue, nausea, and jaundice. Most patients recover completely with supportive care."""
Hepatitis B,"Hepatitis B,""Hepatitis B is a viral infection affecting the liver and spread through infected blood or body fluids. It may cause chronic liver disease and is preventable through vaccination."""
Hepatitis C,"Hepatitis C,""Hepatitis C is a viral liver infection primarily spread through contaminated blood. It may lead to chronic liver disease but can often be treated with antiviral medications."""
Hepatitis D,"Hepatitis D,""Hepatitis D occurs only in people already infected with Hepatitis B and can worsen liver disease. Prevention relies on Hepatitis B vaccination."""
Hepatitis E,"Hepatitis E,""Hepatitis E is a viral liver infection commonly transmitted through contaminated water, causing jaundice and fatigue. Most cases resolve with supportive treatment."""
Alcoholic hepatitis,"Alcoholic hepatitis,""Alcoholic hepatitis is liver inflammation caused by excessive alcohol consumption, leading to jaundice, abdominal pain, and liver damage. Treatment involves stopping alcohol intake and medical care."""
Tuberculosis,"Tuberculosis,""Tuberculosis is a bacterial infection mainly affecting the lungs and spreads through air. Symptoms include persistent cough, fever, and weight loss. Treatment requires long-term antibiotics."""
Common Cold,"Common Cold,""The common cold is a mild viral infection of the upper respiratory tract causing sneezing, runny nose, sore throat, and cough. It usually resolves with rest and hydration."""
Pneumonia,"Pneumonia,""Pneumonia is a lung infection causing inflammation of air sacs, leading to cough, fever, chest pain, and breathing difficulty. Treatment depends on the cause and may include antibiotics."""
Dimorphic hemmorhoids(piles),"Dimorphic hemmorhoids(piles),""Hemorrhoids are swollen blood vessels in the rectal area causing pain, itching, and bleeding during bowel movements. Treatment includes dietary changes, medications, or medical procedures."""
Heart attack,"Heart attack,""A heart attack occurs when blood flow to part of the heart is blocked, causing damage to heart muscle. Symptoms include chest pain, breathlessness, and sweating. Immediate medical treatment is essential."""
Varicose veins,"Varicose veins,""Varicose veins are enlarged, twisted veins usually in the legs due to poor blood flow, causing swelling and discomfort. Treatment ranges from lifestyle changes to medical procedures."""
Hypothyroidism,"Hypothyroidism,""Hypothyroidism occurs when the thyroid gland produces insufficient hormones, causing fatigue, weight gain, and cold sensitivity. Treatment involves thyroid hormone replacement."""
Hyperthyroidism,"Hyperthyroidism,""Hyperthyroidism occurs when the thyroid produces excess hormones, causing weight loss, rapid heartbeat, and anxiety. Treatment includes medications, therapy, or surgery."""
Hypoglycemia,"Hypoglycemia,""Hypoglycemia refers to abnormally low blood sugar levels causing sweating, confusion, dizziness, and weakness. Treatment involves immediate intake of glucose or sugary foods."""
Osteoarthristis,"Osteoarthristis,""Osteoarthritis is a degenerative joint disease causing joint pain and stiffness due to cartilage wear. Management includes exercise, medications, and lifestyle adjustments."""
Arthritis,"Arthritis,""Arthritis involves inflammation of joints causing pain, swelling, and stiffness. Treatment includes medications, therapy, and lifestyle management."""
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,"Urinary tract infection,""A urinary tract infection occurs when bacteria infect the urinary system, causing burning urination, frequent urge to urinate, and discomfort. Treatment involves antibiotics.""
"
Psoriasis,"Psoriasis,""Psoriasis is a chronic skin condition causing thick, scaly patches due to rapid skin cell growth. Treatment includes topical therapies, medications, and lifestyle management.""
"
Impetigo,"Impetigo,""Impetigo is a contagious bacterial skin infection causing red sores that form yellow crusts, commonly affecting children. Treatment includes antibiotic creams or medications."""
