Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,
AIDS,Avoid overexertion when fatigued,Maintain strict hygiene to prevent infections,Follow prescribed antiretroviral therapy,Monitor for signs of opportunistic infections,
Acne,Wash face gently before and after exercise,Avoid touching or picking at skin,Use non-comedogenic skincare,Avoid excessive sweating that irritates skin,
Acute_kidney_injury,Exercise only if cleared by physician,Avoid high-intensity or heavy resistance exercises,Monitor fluid intake as advised by doctor,Stop activity if dizziness or fatigue occurs,
Alzheimer_disease,Exercise only under supervision,Avoid activities with fall risk,Keep exercise sessions short,Use familiar and safe environment,
Anemia,Avoid high-intensity or endurance exercise without clearance,Take frequent rest breaks,Ensure iron-rich diet,Monitor for dizziness or palpitations,
Ankylosing_spondylitis,Perform daily spinal mobility exercises,Avoid heavy lifting or high-impact sports,Maintain correct posture,Stretch regularly,
Anxiety_disorder,Practice relaxation or breathing exercises,Avoid high-stress workouts,Maintain consistent routine,Seek supervision if panic episodes occur,
Appendicitis,Seek immediate medical attention if symptoms appear,Avoid exercise until post-surgery recovery,Follow post-operative instructions,Rest adequately and hydrate,
Asthma,Use inhaler before exertion,Avoid cold or polluted air,Stop activity if wheezing occurs,Monitor breathing regularly,
Bell_palsy,Perform daily facial exercises,Avoid strenuous facial movements,Maintain gentle stretching for neck and shoulders,Consistency in rehabilitation exercises,
Bronchitis,Avoid cold or polluted air,Engage only in low-intensity exercises,Stop activity if coughing worsens,Stay hydrated,
COVID-19,Exercise only after medical clearance,Start with low-intensity activity,Monitor oxygen levels,Take frequent rest breaks,
Cataract,Avoid exercises that strain eyes,Use proper lighting,Avoid bending head excessively,Follow ophthalmologist recommendations,
Celiac_disease,Maintain strict gluten-free diet,Monitor nutrition closely,Stay hydrated,Avoid foods that trigger symptoms,
Cervical_spondylosis,Use ergonomic posture,Avoid heavy lifting,Perform gentle neck stretches,Avoid sudden head movements,
Cholera,Maintain hydration,Use oral rehydration solution,Rest adequately,Follow medical treatment,
Chronic_Obstructive_Pulmonary_Disease,Use prescribed inhaler,Avoid high-intensity exertion,Monitor breathing,Take rest breaks as needed,
Chronic_kidney_disease,Exercise only if cleared by physician,Avoid heavy resistance training,Monitor fatigue and hydration,Keep sessions short,
Chronic_cholestasis,Engage only in moderate activity,Monitor energy levels,Stay hydrated,Avoid strenuous exercise,
Cirrhosis,Avoid heavy lifting or high-intensity exercise,Monitor for fatigue and bleeding,Stay hydrated,Follow dietary recommendations,
Common_Cold,Rest adequately,Stay hydrated,Avoid crowded places,Avoid strenuous exercise,
Conjunctivitis,Avoid touching eyes,Avoid swimming in pools,Maintain hand hygiene,Avoid contact sports until healed,
Coronary_artery_disease,Exercise under medical supervision,Avoid high-intensity exertion,Monitor heart rate,Follow prescribed cardiac rehabilitation plan,
Crohn_disease,Avoid exercise during flare-ups,Maintain hydration,Monitor abdominal pain,Follow prescribed diet and treatment,
Deep_vein_thrombosis,Avoid prolonged immobility,Perform ankle pumps and leg elevation,Monitor for leg swelling or pain,Follow medical anticoagulation therapy,
Dengue,Rest until fully recovered,Maintain hydration,Avoid physical exertion,Follow medical treatment,
Depression,Engage in light outdoor activity if tolerated,Maintain routine,Avoid high-stress situations,Seek professional support if needed,
Diabetes_mellitus,Monitor blood glucose before and after activity,Avoid exercise during hypoglycemia,Stay hydrated,Avoid prolonged fasting,
Eczema,Shower after sweating,Use gentle movements to avoid irritation,Avoid scratching,Use prescribed skin care,
Encephalitis,Strict neurological rest required,Exercise only under physician supervision,Avoid exertion,Monitor neurological symptoms,
Endocarditis,Strict rest as prescribed by physician,Avoid strenuous activity,Follow antibiotic regimen,Monitor vital signs,
Endometriosis,Avoid movements that increase pelvic pain,Pain monitoring during activity,Short-duration sessions,Follow medical advice,
Epilepsy,Avoid high-risk environments,Avoid flashing lights or triggers,Exercise only under supervision,Avoid high-intensity activity,
Erectile_dysfunction,Monitor cardiovascular health,Avoid excessive fatigue,Follow prescribed treatment,Maintain healthy lifestyle,
Food_poisoning,Rest until recovered,Maintain hydration,Follow dietary recommendations,Avoid strenuous activity,
GERD,Avoid exercise immediately after meals,Stay upright after eating,Monitor for reflux symptoms,Follow dietary restrictions,
Gallbladder_infection,Rest during acute phase,Follow medical treatment,Maintain hydration,Avoid strenuous activity,
Gallstones,Avoid high-impact activity,Maintain healthy weight,Stay hydrated,Follow medical advice,
Gastroenteritis,Rest until recovery,Maintain hydration,Follow prescribed treatment,Avoid exertion,
Glaucoma,Avoid head-down positions,Monitor intraocular pressure,Avoid straining,Follow ophthalmologist guidance,
Gout,Avoid foods high in purine,Limit alcohol,Rest affected joints during flare-ups,Maintain hydration,
Guillain-Barre_syndrome,Exercise only under physiotherapy supervision,Avoid overexertion,Monitor fatigue,Follow rehabilitation plan,
HIV_infection,Maintain antiretroviral therapy schedule,Avoid overexertion,Practice hygiene,Monitor for infections,
