,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptoms_5
0,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
1,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,red_spots_over_body,skin_peeling
2,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,red_spots_over_body,skin_rash
3,Fungal infection,itching, skin_rash, dischromic _patches,red_spots_over_body,skin_peeling
4,Fungal infection,itching, skin_rash, nodal_skin_eruptions,skin_peeling,dischromic_patches
5,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling,itching
6,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,skin_peeling,red_spots_over_body
7,Fungal infection,itching, skin_rash, dischromic _patches,red_spots_over_body,skin_peeling
8,Fungal infection,itching, skin_rash, nodal_skin_eruptions,red_spots_over_body,skin_peeling
9,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
10,Allergy,itching, shivering, chills, watering_from_eyes,redness_of_eyes
11,Allergy, shivering, chills, watering_from_eyes,itching,redness_of_eyes
12,Allergy, continuous_sneezing, chills, watering_from_eyes,congestion,redness_of_eyes
13,Allergy, continuous_sneezing, shivering, watering_from_eyes,congestion,redness_of_eyes
14,Allergy, continuous_sneezing, shivering, chills,skin_rash,redness_of_eyes
15,Allergy, shivering, chills, watering_from_eyes,skin_rash,redness_of_eyes
16,Allergy, continuous_sneezing, chills, watering_from_eyes,skin_rash,redness_of_eyes
17,Allergy, continuous_sneezing, shivering, watering_from_eyes,itching,redness_of_eyes
18,Allergy, continuous_sneezing,runny_nose, chills,itching,redness_of_eyes
19,Allergy, continuous_sneezing,itching, chills, watering_from_eyes,redness_of_eyes
20,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,indigestion
21,GERD, stomach_pain, ulcers_on_tongue, vomiting,heartburn,
22,GERD, stomach_pain, acidity, vomiting,loss_of_appetite,heartburn
23,GERD, stomach_pain, acidity, ulcers_on_tongue,loss_of_appetite,heartburn
24,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,heartburn
25,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,heartburn
26,GERD, acidity, ulcers_on_tongue, vomiting,loss_of_appetite,heartburn
27,GERD, stomach_pain, ulcers_on_tongue, vomiting,loss_of_appetite,heartburn
28,GERD, stomach_pain, acidity, vomiting,loss_of_appetite,heartburn
29,GERD, stomach_pain, acidity, ulcers_on_tongue,loss_of_appetite,heartburn
30,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
31,Chronic cholestasis, vomiting, yellowish_skin,dark_urine, loss_of_appetite,abdominal_pain
32,Chronic cholestasis,nausea, yellowish_skin,dark_urine, loss_of_appetite,abdominal_pain
33,Chronic cholestasis,nausea, fatigue,dark_urine, loss_of_appetite,abdominal_pain
34,Chronic cholestasis,nausea, fatigue, yellowish_skin, loss_of_appetite,abdominal_pain
35,Chronic cholestasis,nausea, fatigue, yellowish_skin,dark_urine,abdominal_pain
36,Chronic cholestasis,nausea, fatigue, yellowish_skin,dark_urine,abdominal_pain
37,Chronic cholestasis,nausea, fatigue, yellowish_skin,dark_urine,abdominal_pain
38,Chronic cholestasis,nausea, fatigue, yellowish_skin,dark_urine,abdominal_pain
39,Chronic cholestasis,nausea, fatigue, yellowish_skin,dark_urine,abdominal_pain
40,Drug Reaction,itching, skin_rash,malaise, burning_micturition, vomiting
41,Drug Reaction,itching,malaise, burning_micturition, spotting_ urination, vomiting
42,Drug Reaction,itching, skin_rash,malaise, spotting_ urination, vomiting
43,Drug Reaction,itching, skin_rash,malaise, spotting_ urination, vomiting
44,Drug Reaction,itching, skin_rash,malaise, burning_micturition, vomiting
45,Drug Reaction, skin_rash,malaise, burning_micturition, spotting_ urination, vomiting
46,Drug Reaction,itching,malaise, burning_micturition, spotting_ urination, vomiting
47,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, vomiting
48,Drug Reaction,itching, skin_rash,malaise, spotting_ urination, vomiting
49,Drug Reaction,itching, skin_rash,malaise, burning_micturition, vomiting
50,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,indigestion
51,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases,acidity
52,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,acidity
